data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6070116,466,MLI2464,2464,04 December 2018,2018,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali); Fulani Ethnic Group (Mali),7,37,Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,Gossi,15.8196,-1.2911,2,Facebook,New media,"On December 4, it was reported that unknown gunmen in the past 72 hours had abducted three Tuareg and Fulani tribal leaders in the surroundings of Gossi.",0,1571164561,MLI
6070164,466,MLI2465,2465,04 December 2018,2018,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,Bangui Mallam,15.4031,-1.3712,2,Facebook,New media,"On December 4, it was reported that unknown gunmen in the past 72 hours had abducted a Tuareg tribal leader in the area of Bangui Mallam.",0,1571164561,MLI
6311279,466,MLI2463,2463,03 December 2018,2018,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),Women (Mali),7,27,Western Africa,Mali,Koulikoro,Banamba,Toukoroba,Dandougou,13.5591,-7.09,1,Studio Tamani,National,"On December 3, presumed Katiba Macina militants whipped two women for not wearing veils.",0,1572403781,MLI
6747808,466,MLI2461,2461,02 December 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Sikasso,Kolondieba,Fakola,Fakola,10.5505,-6.9163,2,Menastream,Local partner-New media,"On December 2, unknown gunmen opened fire against a civilian vehicle near Fakola, the driver was wounded.",0,1579637358,MLI
6230372,466,MLI2454,2454,30 November 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Segou,Niono,Niono,Moussa Were,14.1536,-6.0008,2,Nord Sud Journal; Segou Infos; Studio Tamani,Other-National,"On November 30, unknown gunmen attacked a communal transport bus in the area of Moussa-Were, at least one killed and one wounded.",1,1572403609,MLI
6705173,466,MLI2458,2458,29 November 2018,2018,1,Violence against civilians,Attack,Military Forces of Mali (2013-),,1,Civilians (Mali),Journalists (Mali),7,17,Western Africa,Mali,Bamako,Bamako,Bamako,Bamako,12.65,-8,1,RFI; Malinet; Reporters Sans Frontieres,Other-National,"On November 29, a Malian army colonel and his guard corps assaulted a journalist and subjected him to torture-like methods in Bamako.",0,1578503459,MLI
6311216,466,MLI2445,2445,26 November 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Fafa,15.3409,0.7167,2,Studio Tamani,National,"On November 26, unknown gunmen assaulted and robbed marketgoers coming from Ayorou (Niger) toward Fafa (Mali) in the Ansongo area (coded as Fafa at geoprecision 2).",0,1572403781,MLI
6311292,466,MLI2444,2444,25 November 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Gao,Menaka,Anderamboukane,Anderamboukane 15km N,15.5615,3.0196,2,Studio Tamani,National,"On November 25, unknown individuals on a motorbike stabbed a man repeatedly 15km north of Anderamboukane (coded as Anderamboukane 15km N at geoprecision 2).",0,1572403781,MLI
6311254,466,MLI2436,2436,22 November 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Arab Ethnic Group (Mali),7,37,Western Africa,Mali,Gao,Menaka,Menaka,Menaka,15.9182,2.4022,1,Studio Tamani,National,"On November 22, unknown gunmen shot dead a member of the Arab community in the town of Menaka.",1,1572403781,MLI
4588077,466,MLI2431,2431,21 November 2018,2018,1,Violence against civilians,Attack,Dogon Ethnic Militia (Mali),,4,Civilians (Mali),Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso),7,47,Western Africa,Mali,Mopti,Bankass,Ouonkoro,Ouenkoro,13.3821,-3.8308,1,AFP,International,"On November 21, Dogon militiamen killed nine Fulani civilians in Ouenkoro.",9,1552576430,MLI
